WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (167.919793308697 -46.868261028733)",OPEN,FRESHWATER HUT,Buildings,Standard Hut,167.919793309,-46.8682610287
"POINT (168.435405003235 -45.3467554905321)",OPEN,Beech Hut,Buildings,Basic Hut/bivvy,168.435405003,-45.3467554905
"POINT (167.283285950635 -45.9413162644301)",OPEN,Caroline Hut,Buildings,Basic Hut/bivvy,167.283285951,-45.9413162644
"POINT (167.442763789187 -45.8572180714331)",OPEN,Rodger Inlet Historic Hut,Buildings,Basic Hut/bivvy,167.442763789,-45.8572180714
"POINT (168.372098134667 -45.5251813783706)",OPEN,Mt Bee Bunkrooms,Buildings,Basic Hut/bivvy,168.372098135,-45.5251813784
"POINT (167.063141193165 -46.2370693088517)",OPEN,Waitutu Hut,Buildings,Standard Hut,167.063141193,-46.2370693089
"POINT (167.217309063765 -46.2538386228049)",OPEN,Wairaurahiri Hut,Buildings,Standard Hut,167.217309064,-46.2538386228
"POINT (169.324268677435 -44.3027411150755)",OPEN,Big Hopwood Burn Hut,Buildings,Basic Hut/bivvy,169.324268677,-44.3027411151
"POINT (169.550569024875 -44.1196528233979)",OPEN,Ferguson Hut,Buildings,Standard Hut,169.550569025,-44.1196528234
"POINT (169.619756487917 -44.048845114715)",OPEN,Forbes Hut,Buildings,Standard Hut,169.619756488,-44.0488451147
"POINT (169.036073975017 -44.2393175997831)",OPEN,Kerin Forks Hut,Buildings,Serviced Hut,169.036073975,-44.2393175998
"POINT (168.891096151357 -44.2744096009702)",OPEN,Top Forks Hut,Buildings,Serviced Hut,168.891096151,-44.274409601
"POINT (168.891028644486 -44.2744791884054)",OPEN,Top Forks Old Hut,Buildings,Serviced Hut,168.891028644,-44.2744791884
"POINT (169.315912313997 -44.1990675388656)",OPEN,Cameron Hut,Buildings,Standard Hut,169.315912314,-44.1990675389
"POINT (169.557740819636 -44.2802619468828)",OPEN,Top Dingle Hut,Buildings,Standard Hut,169.55774082,-44.2802619469
"POINT (169.517246322001 -44.3622890084507)",OPEN,Cotters Hut,Buildings,Standard Hut,169.517246322,-44.3622890085
"POINT (169.461936825504 -44.4088135883702)",OPEN,Bush Hut,Buildings,Standard Hut,169.461936826,-44.4088135884
"POINT (169.830171921965 -43.9313525887112)",OPEN,Elcho Hut,Buildings,Standard Hut,169.830171922,-43.9313525887
"POINT (173.392697302077 -41.384112433911)",OPEN,Middy Creek Hut,Buildings,Standard Hut,173.392697302,-41.3841124339
"POINT (173.35748323207 -41.4118264802878)",OPEN,Roebuck Hut,Buildings,Standard Hut,173.357483232,-41.4118264803
"POINT (172.363290573047 -41.5875882316024)",OPEN,McConchies Hut,Buildings,Standard Hut,172.363290573,-41.5875882316
"POINT (172.645718768116 -41.9057633426655)",OPEN,D'Urville Hut,Buildings,Standard Hut,172.645718768,-41.9057633427
