WKT,STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y
"POINT (167.38054410525 -45.4405723439015)",OPEN,Freeman Burn Hut,Buildings,Standard Hut,167.380544105,-45.4405723439
"POINT (167.541432884993 -45.5899080721485)",OPEN,Hope Arm Hut,Buildings,Standard Hut,167.541432885,-45.5899080721
"POINT (172.236353526088 -42.6049474983551)",OPEN,St Jacob's Hut,Buildings,Standard Hut,172.236353526,-42.6049474984
"POINT (171.842847796135 -42.854699633496)",OPEN,Trust/Poulter Hut,Buildings,Standard Hut,171.842847796,-42.8546996335
"POINT (171.809903048133 -42.7945222332292)",OPEN,Minchin Bivvy,Buildings,Basic Hut/bivvy,171.809903048,-42.7945222332
"POINT (171.775626489125 -42.899953619161)",OPEN,East Hawdon Biv,Buildings,Basic Hut/bivvy,171.775626489,-42.8999536192
"POINT (167.066273139721 -46.1921499134718)",OPEN,Slaughterburn Hut,Buildings,Basic Hut/bivvy,167.06627314,-46.1921499135
"POINT (168.049906614498 -47.0750072588078)",OPEN,LORDS RIVER HUNTERS HUT,Buildings,Basic Hut/bivvy,168.049906614,-47.0750072588
"POINT (170.909654743297 -43.2991461729299)",OPEN,Lyell Hut,Buildings,Basic Hut/bivvy,170.909654743,-43.2991461729
"POINT (170.964099724968 -43.2798239407243)",OPEN,Reischek Hut,Buildings,Basic Hut/bivvy,170.964099725,-43.2798239407
"POINT (170.712747843437 -43.4524977024955)",OPEN,Curtis Memorial Hut,Buildings,Standard Hut,170.712747843,-43.4524977025
"POINT (170.921770496846 -43.3484130437421)",OPEN,Lawrence Bivvy,Buildings,Basic Hut/bivvy,170.921770497,-43.3484130437
"POINT (170.88511179886 -43.4212414617603)",OPEN,Lawrence Hut,Buildings,Standard Hut,170.885111799,-43.4212414618
"POINT (170.788418328022 -43.4082104773625)",OPEN,Watchdog Hut,Buildings,Standard Hut,170.788418328,-43.4082104774
"POINT (170.693602870698 -43.4482862714615)",OPEN,Mistake Flat Hut,Buildings,Standard Hut,170.693602871,-43.4482862715
"POINT (170.648198536202 -43.4648556617506)",OPEN,Forbes Bivvy,Buildings,Basic Hut/bivvy,170.648198536,-43.4648556618
"POINT (170.677582631286 -43.4677525603749)",OPEN,Murphy's Bivvy,Buildings,Basic Hut/bivvy,170.677582631,-43.4677525604
"POINT (170.683054522142 -43.4170631647827)",OPEN,St Winifreds Hut,Buildings,Basic Hut/bivvy,170.683054522,-43.4170631648
"POINT (171.018065658569 -43.3671138871791)",OPEN,Cameron Hut,Buildings,Basic Hut/bivvy,171.018065659,-43.3671138872
"POINT (171.030880750748 -43.2597072445203)",OPEN,Evans Hut,Buildings,Basic Hut/bivvy,171.030880751,-43.2597072445
"POINT (170.738925005412 -43.5108149079266)",OPEN,Growler Hut,Buildings,Standard Hut,170.738925005,-43.5108149079
"POINT (170.734162554735 -43.7258745213799)",OPEN,Royal Hut,Buildings,Basic Hut/bivvy,170.734162555,-43.7258745214
"POINT (170.771059678486 -43.6864080347867)",OPEN,Stone Hut,Buildings,Basic Hut/bivvy,170.771059678,-43.6864080348
"POINT (170.789844094525 -43.623890900849)",OPEN,Crooked Spur Hut,Buildings,Basic Hut/bivvy,170.789844095,-43.6238909008
"POINT (176.053122510942 -39.8500839340915)",OPEN,Kelly Knight Hut,Buildings,Standard Hut,176.053122511,-39.8500839341
"POINT (176.080769747289 -39.8586302209021)",OPEN,Pourangaki Hut,Buildings,Standard Hut,176.080769747,-39.8586302209
"POINT (170.871963940198 -43.8266635264342)",OPEN,Spurs Hut,Buildings,Basic Hut/bivvy,170.87196394,-43.8266635264
"POINT (171.254595714295 -43.5357093143988)",OPEN,Manuka Hut,Buildings,Basic Hut/bivvy,171.254595714,-43.5357093144
"POINT (171.459193206292 -43.4553891828252)",OPEN,Tribulation Hut,Buildings,Basic Hut/bivvy,171.459193206,-43.4553891828
"POINT (171.260845070598 -43.495682507834)",OPEN,Double Hut,Buildings,Basic Hut/bivvy,171.260845071,-43.4956825078
"POINT (170.970794886291 -43.4909823313252)",OPEN,Potts Hut,Buildings,Basic Hut/bivvy,170.970794886,-43.4909823313
"POINT (171.028901818134 -43.4208129580041)",OPEN,Top Hut,Buildings,Basic Hut/bivvy,171.028901818,-43.420812958
"POINT (174.789754391919 -39.3693342700038)",OPEN,Puteore Hut,Buildings,Standard Hut,174.789754392,-39.36933427
"POINT (170.310137625617 -43.6291442158724)",OPEN,Liebig Hut,Buildings,Standard Hut,170.310137626,-43.6291442159
"POINT (170.39420479931 -43.5194467983876)",OPEN,Murchison Hut,Buildings,Serviced-Alpine Hut,170.394204799,-43.5194467984
"POINT (170.34174505606 -43.5137995002698)",OPEN,Tasman Saddle Hut,Buildings,Serviced-Alpine Hut,170.341745056,-43.5137995003
"POINT (170.680103698175 -45.2934959643156)",OPEN,Staircase Hut,Buildings,Basic Hut/bivvy,170.680103698,-45.2934959643
"POINT (177.467101578062 -38.1697845033033)",OPEN,Pakihi Hut,Buildings,Standard Hut,177.467101578,-38.1697845033
"POINT (176.851810825145 -38.4671352401453)",OPEN,Midway Hut,Buildings,Standard Hut,176.851810825,-38.4671352401
"POINT (176.888340852342 -38.2774439384365)",OPEN,Waihua Hut,Buildings,Standard Hut,176.888340852,-38.2774439384
"POINT (176.917360059027 -38.4136792166485)",OPEN,Manaohou Right Branch Hut,Buildings,Standard Hut,176.917360059,-38.4136792166
"POINT (176.875098109852 -38.313084553287)",OPEN,Mangamako Hut,Buildings,Standard Hut,176.87509811,-38.3130845533
"POINT (176.907942684024 -38.3141279989573)",OPEN,Casino Hut,Buildings,Basic Hut/bivvy,176.907942684,-38.314127999
"POINT (176.831507854941 -38.5362505000042)",OPEN,Mangapouri Hut,Buildings,Standard Hut,176.831507855,-38.5362505
"POINT (177.023705979878 -38.60232714668)",OPEN,Kanohirua Hut,Buildings,Basic Hut/bivvy,177.02370598,-38.6023271467
"POINT (177.089437193092 -38.5149567727452)",OPEN,Taurawharona Hut,Buildings,Standard Hut,177.089437193,-38.5149567727
"POINT (177.047276886925 -38.565088785035)",OPEN,Waiawa Hut,Buildings,Standard Hut,177.047276887,-38.565088785
"POINT (176.989439280508 -38.512322985393)",OPEN,Tawhiwhi Hut,Buildings,Standard Hut,176.989439281,-38.5123229854
"POINT (176.97771124312 -38.4923392517451)",OPEN,Ngahiramai Hut,Buildings,Standard Hut,176.977711243,-38.4923392517
"POINT (177.007475044351 -38.4822258180514)",OPEN,Takarua Hut,Buildings,Standard Hut,177.007475044,-38.4822258181
"POINT (176.959013948382 -38.4298956943856)",OPEN,Hanamahihi Hut,Buildings,Standard Hut,176.959013948,-38.4298956944
"POINT (175.232402425008 -40.9718755950579)",OPEN,Elder Hut,Buildings,Standard Hut,175.232402425,-40.9718755951
"POINT (175.172604011874 -40.9683257104163)",OPEN,Renata Hut,Buildings,Basic Hut/bivvy,175.172604012,-40.9683257104
"POINT (175.281914278487 -40.9857497163669)",OPEN,Alpha Hut,Buildings,Standard Hut,175.281914278,-40.9857497164
"POINT (172.570915704086 -41.0946870361428)",OPEN,CHAFFEY HUT,Buildings,Basic Hut/bivvy,172.570915704,-41.0946870361
"POINT (167.610360887281 -45.481882788004)",OPEN,Moturau Hut,Buildings,Great Walk Hut,167.610360887,-45.481882788
"POINT (169.257069285512 -44.4150227223927)",OPEN,Sawyer Burn Hut,Buildings,Basic Hut/bivvy,169.257069286,-44.4150227224
"POINT (167.361475786212 -46.2225892588065)",OPEN,Port Craig School Hut,Buildings,Serviced Hut,167.361475786,-46.2225892588
"POINT (177.135220659542 -38.4676636701443)",OPEN,Te Pua Hut,Buildings,Standard Hut,177.13522066,-38.4676636701
"POINT (177.100002820892 -38.4595634547606)",OPEN,Te Panaa Hut,Buildings,Standard Hut,177.100002821,-38.4595634548
"POINT (169.989491556375 -44.6730593842133)",OPEN,Otamatapaio Hut,Buildings,Standard Hut,169.989491556,-44.6730593842
"POINT (173.244537810669 -41.4165176597369)",OPEN,Hacket Hut,Buildings,Standard Hut,173.244537811,-41.4165176597
"POINT (173.074507830353 -41.6109986605957)",OPEN,Top Wairoa Hut,Buildings,Standard Hut,173.07450783,-41.6109986606
"POINT (176.167861820329 -39.7875903854076)",OPEN,Sunrise Hut,Buildings,Serviced Hut,176.16786182,-39.7875903854
"POINT (176.197690765844 -39.7938334083908)",OPEN,Triplex Hut,Buildings,Standard Hut,176.197690766,-39.7938334084
"POINT (171.770607125395 -42.8153053781326)",OPEN,Poulter Valley Bivvy,Buildings,Basic Hut/bivvy,171.770607125,-42.8153053781
"POINT (171.691539738223 -43.0970866576771)",OPEN,Cass Saddle Hut,Buildings,Basic Hut/bivvy,171.691539738,-43.0970866577
"POINT (171.6070370031 -43.0997719934516)",OPEN,West Harper Hut,Buildings,Basic Hut/bivvy,171.607037003,-43.0997719935
"POINT (171.641757548382 -43.0377681308151)",OPEN,Bealey Hut,Buildings,Basic Hut/bivvy,171.641757548,-43.0377681308
"POINT (171.629786672411 -43.1293391165117)",OPEN,Hamilton Hut,Buildings,Serviced Hut,171.629786672,-43.1293391165
"POINT (171.317062792276 -43.0340744913869)",OPEN,Urquhart's Hut,Buildings,Basic Hut/bivvy,171.317062792,-43.0340744914
"POINT (172.006179693623 -43.1792871624564)",OPEN,Black Hill Hut,Buildings,Standard Hut,172.006179694,-43.1792871625
"POINT (171.887773128071 -43.1942796332932)",OPEN,Avoca Homestead,Buildings,Standard Hut,171.887773128,-43.1942796333
"POINT (171.836093568619 -43.1897944359057)",OPEN,Broken River Hut,Buildings,Basic Hut/bivvy,171.836093569,-43.1897944359
"POINT (171.433473139347 -43.086910562638)",OPEN,Back Basin Hide,Buildings,Basic Hut/bivvy,171.433473139,-43.0869105626
"POINT (171.647112107884 -42.9426044752197)",OPEN,Edwards Hut,Buildings,Serviced Hut,171.647112108,-42.9426044752
"POINT (171.704687188757 -42.9494389835285)",OPEN,Sudden Valley Bivvy,Buildings,Basic Hut/bivvy,171.704687189,-42.9494389835
"POINT (172.606505097713 -42.5503957894002)",OPEN,Tutu Hut,Buildings,Basic Hut/bivvy,172.606505098,-42.5503957894
"POINT (171.97342033845 -43.1119844284828)",OPEN,Puketeraki Bivvy,Buildings,Basic Hut/bivvy,171.973420338,-43.1119844285
"POINT (172.660075084411 -42.1535694133426)",OPEN,Caroline Creek Bivvy,Buildings,Basic Hut/bivvy,172.660075084,-42.1535694133
"POINT (172.627800810339 -42.4634343851112)",OPEN,Stony Stream Bivvy,Buildings,Basic Hut/bivvy,172.62780081,-42.4634343851
"POINT (169.846006370732 -43.9562975636132)",OPEN,Dasler Biv,Buildings,Basic Hut/bivvy,169.846006371,-43.9562975636
"POINT (170.502555106658 -43.5400810655128)",OPEN,Red Stag Hut,Buildings,Basic Hut/bivvy,170.502555107,-43.5400810655
"POINT (170.603524157739 -43.5804283902001)",OPEN,Macaulay Hut,Buildings,Serviced Hut,170.603524158,-43.5804283902
"POINT (170.064470990012 -44.1081085774888)",OPEN,Baikie Hut,Buildings,Basic Hut/bivvy,170.06447099,-44.1081085775
"POINT (169.697775098565 -44.2830232622124)",OPEN,Snowy Gorge Hut,Buildings,Basic Hut/bivvy,169.697775099,-44.2830232622
"POINT (170.649211535691 -43.7938635257063)",OPEN,Camp Stream Hut,Buildings,Basic Hut/bivvy,170.649211536,-43.7938635257
"POINT (170.429085000353 -44.6026711080117)",OPEN,Pearson Hut,Buildings,Basic Hut/bivvy,170.429085,-44.602671108
"POINT (172.561206833622 -41.5229585518132)",OPEN,Granity Pass Hut,Buildings,Standard Hut,172.561206834,-41.5229585518
"POINT (173.278433162104 -41.4854922597642)",OPEN,Slaty Hut,Buildings,Standard Hut,173.278433162,-41.4854922598
"POINT (173.240732539049 -41.4586089221985)",OPEN,Starveall Hut,Buildings,Standard Hut,173.240732539,-41.4586089222
"POINT (175.689245222077 -39.1586475992461)",OPEN,Oturere Hut,Buildings,Great Walk Hut,175.689245222,-39.1586475992
"POINT (172.991474827224 -41.7310252195481)",OPEN,Red Hills Hut,Buildings,Standard Hut,172.991474827,-41.7310252195
"POINT (172.528926787951 -42.3511171073684)",OPEN,Anne Hut,Buildings,Serviced Hut,172.528926788,-42.3511171074
"POINT (167.509576199662 -45.3989320327471)",OPEN,Iris Burn Hut,Buildings,Great Walk Hut,167.5095762,-45.3989320327
"POINT (175.271659177355 -40.9428885139376)",OPEN,Kime Hut,Buildings,Standard Hut,175.271659177,-40.9428885139
"POINT (174.730166858532 -39.4795527831767)",OPEN,Trains Hut,Buildings,Standard Hut,174.730166859,-39.4795527832
"POINT (175.955130157391 -40.1013272658288)",OPEN,Diggers Hut,Buildings,Standard Hut,175.955130157,-40.1013272658
"POINT (176.138555746696 -39.7298013994635)",OPEN,Maropea Forks Hut - New 2014,Buildings,Standard Hut,176.138555747,-39.7298013995
"POINT (173.276834203478 -41.4137241980057)",OPEN,Browning Hut,Buildings,Standard Hut,173.276834203,-41.413724198
"POINT (175.919003537274 -40.1887619678501)",OPEN,Kiritaki Hut,Buildings,Standard Hut,175.919003537,-40.1887619679
"POINT (177.774498741403 -38.0990935031872)",OPEN,Mangaotane Hut (McMillans),Buildings,Basic Hut/bivvy,177.774498741,-38.0990935032
"POINT (177.678110144954 -38.0131938027478)",OPEN,Mangakirikiri Hut,Buildings,Standard Hut,177.678110145,-38.0131938027
"POINT (174.976559596117 -39.3496062294249)",OPEN,Puketotara Hut,Buildings,Serviced Hut,174.976559596,-39.3496062294
"POINT (167.78033382458 -46.92651925279)",OPEN,MASON BAY HUT,Buildings,Standard Hut,167.780333825,-46.9265192528
"POINT (177.052734199671 -38.4911503076734)",OPEN,Otanetea Hut,Buildings,Standard Hut,177.0527342,-38.4911503077
"POINT (168.171649988403 -47.0723590227983)",OPEN,KELLYS HUNTERS HUT,Buildings,Basic Hut/bivvy,168.171649988,-47.0723590228
"POINT (168.023395152504 -46.9479924675506)",OPEN,ABRAHAMS BAY HUNTERS HUT,Buildings,Basic Hut/bivvy,168.023395153,-46.9479924676
"POINT (168.152285510952 -47.0847975460422)",OPEN,NORTH TIKOTATAHI HUNTERS HUT,Buildings,Basic Hut/bivvy,168.152285511,-47.084797546
"POINT (168.176802391443 -47.0480129743788)",OPEN,PORT ADVENTURE HUNTERS HUT,Buildings,Basic Hut/bivvy,168.176802391,-47.0480129744
"POINT (175.522029891907 -37.3917234219025)",OPEN,Kopuatai Duck Hut 1,Buildings,Basic Hut/bivvy,175.522029892,-37.3917234219
"POINT (175.53339785826 -37.3989417833928)",OPEN,Kopuatai Duck Hut 2,Buildings,Basic Hut/bivvy,175.533397858,-37.3989417834
"POINT (175.531412868973 -37.417484897756)",OPEN,Kopuatai Duck Hut 3,Buildings,Basic Hut/bivvy,175.531412869,-37.4174848978
"POINT (175.527776974038 -37.4195632928958)",OPEN,Kopuatai Duck Hut 5,Buildings,Basic Hut/bivvy,175.527776974,-37.4195632929
"POINT (175.523269194617 -37.4192361144669)",OPEN,Kopuatai Duck Hut 6,Buildings,Basic Hut/bivvy,175.523269195,-37.4192361145
"POINT (175.514695958346 -37.4277455268936)",OPEN,Kopuatai Duck Hut 7,Buildings,Basic Hut/bivvy,175.514695958,-37.4277455269
"POINT (175.520838050385 -37.4356798919516)",OPEN,Kopuatai Duck Hut 8,Buildings,Basic Hut/bivvy,175.52083805,-37.435679892
"POINT (175.519221746402 -37.4380303208297)",OPEN,Kopuatai Duck Hut 9,Buildings,Basic Hut/bivvy,175.519221746,-37.4380303208
"POINT (175.519065359311 -37.4323564284935)",OPEN,Kopuatai Duck Hut 10,Buildings,Basic Hut/bivvy,175.519065359,-37.4323564285
"POINT (175.520397379966 -37.4400598563502)",OPEN,Kopuatai Duck Hut 12,Buildings,Basic Hut/bivvy,175.52039738,-37.4400598564
"POINT (175.523727675104 -37.4486938129236)",OPEN,Kopuatai Duck Hut 16,Buildings,Basic Hut/bivvy,175.523727675,-37.4486938129
"POINT (175.523727675104 -37.4486938129236)",OPEN,Kopuatai Duck Hut 17,Buildings,Basic Hut/bivvy,175.523727675,-37.4486938129
"POINT (175.183801691616 -37.3548026595349)",OPEN,Whangamarino Duck Hut B,Buildings,Basic Hut/bivvy,175.183801692,-37.3548026595
"POINT (175.119518777502 -37.3347215690352)",OPEN,Whangamarino Duck Hut C,Buildings,Basic Hut/bivvy,175.119518778,-37.334721569
"POINT (175.136260641038 -37.3376467134873)",OPEN,Whangamarino Duck Hut E,Buildings,Basic Hut/bivvy,175.136260641,-37.3376467135
"POINT (169.361629811933 -46.4321252312821)",OPEN,McLennan Hut,Buildings,Basic Hut/bivvy,169.361629812,-46.4321252313
"POINT (172.99647134342 -41.8325164839533)",OPEN,Bull Paddock Creek Hut,Buildings,Basic Hut/bivvy,172.996471343,-41.832516484
"POINT (171.487726204063 -42.917898900994)",OPEN,Waimakariri Falls Hut,Buildings,Basic Hut/bivvy,171.487726204,-42.917898901
"POINT (172.449249253587 -42.1565067458149)",OPEN,Burn Creek Hut,Buildings,Basic Hut/bivvy,172.449249254,-42.1565067458
"POINT (172.680705744257 -41.9013715587266)",OPEN,Sabine Hut,Buildings,Serviced Hut,172.680705744,-41.9013715587
"POINT (172.931113783304 -41.7192596300766)",OPEN,Beebys Hut,Buildings,Standard Hut,172.931113783,-41.7192596301
"POINT (176.171472196272 -39.6314152969461)",OPEN,Ruahine Corner Hut,Buildings,Standard Hut,176.171472196,-39.6314152969
"POINT (172.549578031578 -41.4022314015839)",OPEN,John Reid Hut,Buildings,Standard Hut,172.549578032,-41.4022314016
"POINT (172.683953968535 -42.0077949932985)",OPEN,West Sabine Hut,Buildings,Serviced Hut,172.683953969,-42.0077949933
"POINT (171.397606649538 -42.9889820729255)",OPEN,Barker Hut,Buildings,Standard Hut,171.39760665,-42.9889820729
"POINT (176.158064856162 -39.7743011695489)",OPEN,Top Maropea Hut,Buildings,Basic Hut/bivvy,176.158064856,-39.7743011695
"POINT (177.128736058396 -38.5360024499259)",OPEN,Makomako Hut,Buildings,Standard Hut,177.128736058,-38.5360024499
"POINT (171.616574142281 -42.883715721594)",OPEN,Upper Deception Hut,Buildings,Basic Hut/bivvy,171.616574142,-42.8837157216
"POINT (172.748746721819 -42.0221135263818)",OPEN,UPPER TRAVERS HUT,Buildings,Serviced Hut,172.748746722,-42.0221135264
"POINT (176.085150719635 -39.7669682125193)",OPEN,Crow Hut,Buildings,Standard Hut,176.08515072,-39.7669682125
"POINT (172.315966044463 -41.5597812118541)",OPEN,Larrikin Creek Hut,Buildings,Standard Hut,172.315966044,-41.5597812119
"POINT (174.851223614801 -39.3374504409961)",OPEN,Pouri Hut,Buildings,Serviced Hut,174.851223615,-39.337450441
"POINT (174.908404239426 -39.3708360397078)",OPEN,Ngapurua Hut,Buildings,Serviced Hut,174.908404239,-39.3708360397
"POINT (172.322175625512 -41.6139244845546)",OPEN,Poor Pete's Hut,Buildings,Basic Hut/bivvy,172.322175626,-41.6139244846
"POINT (167.294707817737 -46.0665389139765)",OPEN,Teal Bay Hut,Buildings,Standard Hut,167.294707818,-46.066538914
"POINT (175.958259841945 -39.1238821973736)",OPEN,Waipakihi Hut,Buildings,Standard Hut,175.958259842,-39.1238821974
"POINT (168.39988960413 -45.3646993074113)",OPEN,Dog Box Bivvy,Buildings,Basic Hut/bivvy,168.399889604,-45.3646993074
"POINT (168.431757290344 -45.4041752652426)",OPEN,Shepherd Creek Hut,Buildings,Basic Hut/bivvy,168.43175729,-45.4041752652
"POINT (167.440518316513 -44.983697562375)",OPEN,George Sound Hut,Buildings,Standard Hut,167.440518317,-44.9836975624
"POINT (176.05628780945 -39.8202839734758)",OPEN,Purity Hut,Buildings,Standard Hut,176.056287809,-39.8202839735
"POINT (176.075533875402 -39.9043930835293)",OPEN,Triangle Hut,Buildings,Standard Hut,176.075533875,-39.9043930835
"POINT (172.591154858898 -41.2716131387414)",OPEN,Flanagans Hut,Buildings,Standard Hut,172.591154859,-41.2716131387
"POINT (172.494376669471 -41.4071724083578)",OPEN,Kiwi Saddle Hut,Buildings,Standard Hut,172.494376669,-41.4071724084
"POINT (172.938831684986 -40.8628221392279)",OPEN,Awapoto Hut,Buildings,Standard Hut,172.938831685,-40.8628221392
"POINT (168.273162381791 -44.89187583859)",OPEN,Mid Caples Hut,Buildings,Serviced Hut,168.273162382,-44.8918758386
"POINT (171.62482279386 -42.9015640974908)",OPEN,Goat Pass Hut,Buildings,Standard Hut,171.624822794,-42.9015640975
"POINT (176.057110771698 -39.9269494160459)",OPEN,Iron Gate Hut,Buildings,Standard Hut,176.057110772,-39.926949416
"POINT (176.126350359017 -39.9043570546275)",OPEN,Howletts Hut,Buildings,Standard Hut,176.126350359,-39.9043570546
"POINT (176.116472146927 -40.0031294097145)",OPEN,Makaretu Hut,Buildings,Standard Hut,176.116472147,-40.0031294097
"POINT (176.169614172525 -39.8617739251754)",OPEN,Hinerua Hut,Buildings,Standard Hut,176.169614173,-39.8617739252
"POINT (176.170400680745 -39.8491598662296)",OPEN,Smiths Stream Hut,Buildings,Standard Hut,176.170400681,-39.8491598662
"POINT (176.144297891737 -39.913185118188)",OPEN,Daphne Hut,Buildings,Standard Hut,176.144297892,-39.9131851182
"POINT (177.179673100994 -38.3425194722792)",OPEN,Koaunui Hut,Buildings,Standard Hut,177.179673101,-38.3425194723
"POINT (177.002928154855 -38.3909584577464)",OPEN,WAIKARE JUNCTION HUT,Buildings,Standard Hut,177.002928155,-38.3909584577
"POINT (177.017755216873 -38.3141951750449)",OPEN,Ohora Hut,Buildings,Standard Hut,177.017755217,-38.314195175
"POINT (177.063881855457 -38.3223312094254)",OPEN,Onepu Hut,Buildings,Standard Hut,177.063881855,-38.3223312094
"POINT (177.188716731046 -38.7008595987658)",OPEN,Sandy Bay Hut,Buildings,Serviced Hut,177.188716731,-38.7008595988
"POINT (176.114060542885 -39.8289880410443)",OPEN,Waterfall Hut,Buildings,Standard Hut,176.114060543,-39.828988041
"POINT (176.092169365139 -39.6822519975286)",OPEN,Iron Bark Hut,Buildings,Standard Hut,176.092169365,-39.6822519975
"POINT (175.940023472964 -40.1138812978643)",OPEN,Forks Hut,Buildings,Standard Hut,175.940023473,-40.1138812979
"POINT (176.140688153422 -39.6719228851995)",OPEN,Colenso Hut,Buildings,Standard Hut,176.140688153,-39.6719228852
"POINT (172.55815139548 -40.9825414866672)",OPEN,Lonely Lake Hut,Buildings,Basic Hut/bivvy,172.558151395,-40.9825414867
"POINT (172.673977445186 -41.0458674965031)",OPEN,Waingaro Forks Hut,Buildings,Basic Hut/bivvy,172.673977445,-41.0458674965
"POINT (172.742788665558 -41.0454831054197)",OPEN,Riordans Hut,Buildings,Basic Hut/bivvy,172.742788666,-41.0454831054
"POINT (172.608286218207 -40.9392398182263)",OPEN,Anatoki Forks Hut,Buildings,Standard Hut,172.608286218,-40.9392398182
"POINT (172.543341282323 -40.9426943008522)",OPEN,Adelaide Tarn Hut,Buildings,Basic Hut/bivvy,172.543341282,-40.9426943009
"POINT (172.997261764268 -41.6535730035109)",OPEN,Porters Creek Hut,Buildings,Standard Hut,172.997261764,-41.6535730035
"POINT (172.953678004115 -40.9617860688103)",OPEN,Castle Rock Hut,Buildings,Standard Hut,172.953678004,-40.9617860688
"POINT (172.431508921993 -41.1989811126448)",OPEN,Roaring Lion Hut,Buildings,Basic Hut/bivvy,172.431508922,-41.1989811126
"POINT (173.002927947748 -41.5995564886604)",OPEN,Hunters Hut,Buildings,Standard Hut,173.002927948,-41.5995564887
"POINT (173.121539667897 -41.57068688047)",OPEN,Mid Wairoa Hut,Buildings,Standard Hut,173.121539668,-41.5706868805
"POINT (172.821978372275 -41.8756476994596)",OPEN,Lakehead Hut,Buildings,Serviced Hut,172.821978372,-41.8756476995
"POINT (172.732831872033 -41.9718114060483)",OPEN,Cupola Hut,Buildings,Standard Hut,172.732831872,-41.971811406
"POINT (176.993665391299 -38.8096273739616)",OPEN,Waiopaoa Hut,Buildings,Great Walk Hut,176.993665391,-38.809627374
"POINT (171.511387495394 -42.9996587143497)",OPEN,ANTI CROW HUT,Buildings,Standard Hut,171.511387495,-42.9996587143
"POINT (171.341914911211 -42.9717728180828)",OPEN,Park Morpeth Hut,Buildings,Standard Hut,171.341914911,-42.9717728181
"POINT (168.127428050473 -45.1138996318425)",OPEN,Forks Hut,Buildings,Basic Hut/bivvy,168.12742805,-45.1138996318
"POINT (167.82582126889 -45.7200236653701)",OPEN,Redcliff Hut,Buildings,Basic Hut/bivvy,167.825821269,-45.7200236654
"POINT (169.751071859648 -44.1333967695173)",OPEN,South Temple Hut,Buildings,Standard Hut,169.75107186,-44.1333967695
"POINT (171.480231955193 -43.0998507101977)",OPEN,Historic Basins Hut,Buildings,Basic Hut/bivvy,171.480231955,-43.0998507102
"POINT (171.732663432073 -42.9110665415897)",OPEN,Hawdon Hut,Buildings,Serviced Hut,171.732663432,-42.9110665416
"POINT (169.680699719214 -44.3460234173121)",OPEN,Hideaway Hut,Buildings,Basic Hut/bivvy,169.680699719,-44.3460234173
"POINT (176.265198530027 -39.2979683667846)",OPEN,MANSON SLAB HUT (Historic),Buildings,Basic Hut/bivvy,176.26519853,-39.2979683668
"POINT (176.2826572153 -39.713922229639)",OPEN,ELLIS HUT ( HISTORIC),Buildings,Basic Hut/bivvy,176.282657215,-39.7139222296
"POINT (168.033569563762 -46.8090519591645)",OPEN,BUNGAREE HUT,Buildings,Standard Hut,168.033569564,-46.8090519592
"POINT (171.951540186949 -43.1941344533482)",OPEN,Waimak Gorge - Walker Hut,Buildings,Basic Hut/bivvy,171.951540187,-43.1941344533
"POINT (171.966751351932 -43.118263784635)",OPEN,Waimak Gorge - Hamilton Hut,Buildings,Basic Hut/bivvy,171.966751352,-43.1182637846
"POINT (170.44023223477 -45.7190349692005)",OPEN,Jubilee Hut,Buildings,Standard Hut,170.440232235,-45.7190349692
"POINT (175.745902969242 -39.541459311555)",OPEN,Zekes Hut,Buildings,Standard Hut,175.745902969,-39.5414593116
"POINT (171.896186170977 -42.8561988893807)",OPEN,Ranger Bivvy,Buildings,Basic Hut/bivvy,171.896186171,-42.8561988894
"POINT (172.042287776458 -43.197730625403)",OPEN,Wharfedale Hut,Buildings,Standard Hut,172.042287776,-43.1977306254
"POINT (168.747902111319 -45.4539335976942)",OPEN,Garston Ski Hut,Buildings,Basic Hut/bivvy,168.747902111,-45.4539335977
"POINT (168.721070750455 -45.6446894757752)",OPEN,DOME BURN SOD HUT,Buildings,Basic Hut/bivvy,168.72107075,-45.6446894758
"POINT (173.577078958438 -41.4158617613219)",OPEN,Devils Creek Hut,Buildings,Standard Hut,173.577078958,-41.4158617613
"POINT (167.998344478672 -46.7816626067599)",OPEN,MURRAY RIVER HUNTER HUT,Buildings,Basic Hut/bivvy,167.998344479,-46.7816626068
"POINT (168.279086744752 -44.9161477234213)",OPEN,Home Hill Hut,Buildings,Basic Hut/bivvy,168.279086745,-44.9161477234
"POINT (167.72254708261 -46.9631991182439)",OPEN,CAVALIER HUNTERS HUT,Buildings,Basic Hut/bivvy,167.722547083,-46.9631991182
"POINT (172.390397082066 -41.3980302556366)",OPEN,Trevor Carter Hut,Buildings,Standard Hut,172.390397082,-41.3980302556
"POINT (176.964938099336 -38.2810736414295)",OPEN,Apiti Hut,Buildings,Standard Hut,176.964938099,-38.2810736414
"POINT (172.817040394881 -41.8703529107259)",OPEN,Coldwater Hut,Buildings,Standard Hut,172.817040395,-41.8703529107
"POINT (167.796983822757 -46.920537173137)",OPEN,HOMESTEAD HUNTERS HUT,Buildings,Basic Hut/bivvy,167.796983823,-46.9205371731
"POINT (176.772775431884 -38.8065946131056)",OPEN,Mangakahika Hut,Buildings,Standard Hut,176.772775432,-38.8065946131
